Sample Location,Decision Unit,Sample Type,Sample Depth (feet bgs),Sample ID,Sample Date,Chemical,Concentration,Detection
West Parcel,DU-5,ISM,2-3,DU-5 (2-3)A,44768,Copper,159,NA
West Parcel,DU-5,ISM,2-3,DU-5 (2-3)A,44768,Lead,55.9,NA
West Parcel,DU-5,ISM,2-3,DU-5 (2-3)A,44768,Mercury,0.153,NA
West Parcel,DU-5,ISM,2-3,DU-5 (2-3)A,44768,Nickel,27.1,NA
West Parcel,DU-5,ISM,2-3,DU-5 (2-3)A,44768,Selenium,0.309,J
West Parcel,DU-5,ISM,2-3,DU-5 (2-3)A,44768,Zinc,147,NA
West Parcel,DU-5,ISM,2-3 FR,DU-5 (2-3)B,44768,Antimony,0.596,NA
West Parcel,DU-5,ISM,2-3 FR,DU-5 (2-3)B,44768,Arsenic,6.29,NA
West Parcel,DU-5,ISM,2-3 FR,DU-5 (2-3)B,44768,Chromium,36.8,NA
West Parcel,DU-5,ISM,2-3 FR,DU-5 (2-3)B,44768,Copper,144,NA
West Parcel,DU-5,ISM,2-3 FR,DU-5 (2-3)B,44768,Lead,68.1,NA
West Parcel,DU-5,ISM,2-3 FR,DU-5 (2-3)B,44768,Mercury,0.107,NA
West Parcel,DU-5,ISM,2-3 FR,DU-5 (2-3)B,44768,Nickel,26.2,NA
West Parcel,DU-5,ISM,2-3 FR,DU-5 (2-3)B,44768,Selenium,0.3,J
West Parcel,DU-5,ISM,2-3 FR,DU-5 (2-3)B,44768,Zinc,224,NA
West Parcel,DU-5,ISM,2-3 FR,DU-5 (2-3)C,44768,Antimony,0.479,J
West Parcel,DU-5,ISM,2-3 FR,DU-5 (2-3)C,44768,Arsenic,6.56,NA
West Parcel,DU-5,ISM,2-3 FR,DU-5 (2-3)C,44768,Chromium,47.1,NA
West Parcel,DU-5,ISM,2-3 FR,DU-5 (2-3)C,44768,Copper,214,NA
West Parcel,DU-5,ISM,2-3 FR,DU-5 (2-3)C,44768,Lead,118,NA
West Parcel,DU-5,ISM,2-3 FR,DU-5 (2-3)C,44768,Mercury,0.273,NA
West Parcel,DU-5,ISM,2-3 FR,DU-5 (2-3)C,44768,Nickel,31.3,NA
West Parcel,DU-5,ISM,2-3 FR,DU-5 (2-3)C,44768,Selenium,0.304,J
West Parcel,DU-5,ISM,2-3 FR,DU-5 (2-3)C,44768,Zinc,195,NA
West Parcel,DU-5,ISM,0-1,DU-5 (0-1) M,--,Antimony,0.9296666666666665,J
West Parcel,DU-5,ISM,0-1,DU-5 (0-1) M,--,Arsenic,8.766666666666667,NA
West Parcel,DU-5,ISM,0-1,DU-5 (0-1) M,--,Chromium,49.699999999999996,NA
West Parcel,DU-5,ISM,0-1,DU-5 (0-1) M,--,Copper,318.3333333333333,NA
West Parcel,DU-5,ISM,0-1,DU-5 (0-1) M,--,Lead,56.70000000000001,J
West Parcel,DU-5,ISM,0-1,DU-5 (0-1) M,--,Mercury,0.18866666666666665,J
West Parcel,DU-5,ISM,0-1,DU-5 (0-1) M,--,Nickel,31.899999999999995,J
West Parcel,DU-5,ISM,0-1,DU-5 (0-1) M,--,Selenium,0.342,J
West Parcel,DU-5,ISM,0-1,DU-5 (0-1) M,--,Zinc,199.66666666666666,NA
West Parcel,DU-5,ISM,1-2,DU-5 (1-2) M,--,Antimony,0.6516666666666667,NA
West Parcel,DU-5,ISM,1-2,DU-5 (1-2) M,--,Arsenic,7.579999999999999,NA
West Parcel,DU-5,ISM,1-2,DU-5 (1-2) M,--,Chromium,41.833333333333336,NA
West Parcel,DU-5,ISM,1-2,DU-5 (1-2) M,--,Copper,226.66666666666666,NA
West Parcel,DU-5,ISM,1-2,DU-5 (1-2) M,--,Lead,58.666666666666664,NA
West Parcel,DU-5,ISM,1-2,DU-5 (1-2) M,--,Mercury,0.20366666666666666,J
West Parcel,DU-5,ISM,1-2,DU-5 (1-2) M,--,Nickel,38.666666666666664,NA
West Parcel,DU-5,ISM,1-2,DU-5 (1-2) M,--,Selenium,0.326,J
West Parcel,DU-5,ISM,1-2,DU-5 (1-2) M,--,Zinc,167.66666666666666,NA
West Parcel,DU-5,ISM,2-3,DU-5 (2-3) M,--,Antimony,0.5003333333333333,J
West Parcel,DU-5,ISM,2-3,DU-5 (2-3) M,--,Arsenic,6.526666666666666,NA
West Parcel,DU-5,ISM,2-3,DU-5 (2-3) M,--,Chromium,40.76666666666666,NA
West Parcel,DU-5,ISM,2-3,DU-5 (2-3) M,--,Copper,172.33333333333334,NA
West Parcel,DU-5,ISM,2-3,DU-5 (2-3) M,--,Lead,80.66666666666667,NA
West Parcel,DU-5,ISM,2-3,DU-5 (2-3) M,--,Mercury,0.17766666666666667,NA
West Parcel,DU-5,ISM,2-3,DU-5 (2-3) M,--,Nickel,28.2,NA
West Parcel,DU-5,ISM,2-3,DU-5 (2-3) M,--,Selenium,0.30433333333333334,J
West Parcel,DU-5,ISM,2-3,DU-5 (2-3) M,--,Zinc,188.66666666666666,NA
West Parcel,DU-6,ISM,0-1,DU-6 (0-1),44770,Antimony,0.539,U
West Parcel,DU-6,ISM,0-1,DU-6 (0-1),44770,Arsenic,4.93,NA
West Parcel,DU-6,ISM,0-1,DU-6 (0-1),44770,Chromium,22.1,NA
West Parcel,DU-6,ISM,0-1,DU-6 (0-1),44770,Copper,67.6,NA
West Parcel,DU-6,ISM,0-1,DU-6 (0-1),44770,Lead,28.2,NA
West Parcel,DU-6,ISM,0-1,DU-6 (0-1),44770,Mercury,0.128,NA
West Parcel,DU-6,ISM,0-1,DU-6 (0-1),44770,Nickel,19.6,NA
West Parcel,DU-6,ISM,0-1,DU-6 (0-1),44770,Selenium,0.539,U
West Parcel,DU-6,ISM,0-1,DU-6 (0-1),44770,Zinc,135,NA
West Parcel,DU-6,ISM,1-2,DU-6 (1-2),44770,Antimony,0.56,U
West Parcel,DU-6,ISM,1-2,DU-6 (1-2),44770,Arsenic,4.89,NA
West Parcel,DU-6,ISM,1-2,DU-6 (1-2),44770,Chromium,25.2,NA
West Parcel,DU-6,ISM,1-2,DU-6 (1-2),44770,Copper,91.6,NA
West Parcel,DU-6,ISM,1-2,DU-6 (1-2),44770,Lead,40,NA
West Parcel,DU-6,ISM,1-2,DU-6 (1-2),44770,Mercury,0.156,NA
West Parcel,DU-6,ISM,1-2,DU-6 (1-2),44770,Nickel,21.8,NA
West Parcel,DU-6,ISM,1-2,DU-6 (1-2),44770,Selenium,0.56,U
West Parcel,DU-6,ISM,1-2,DU-6 (1-2),44770,Zinc,124,NA
West Parcel,DU-6,ISM,2-3,DU-6 (2-3),44770,Antimony,0.526,U
West Parcel,DU-6,ISM,2-3,DU-6 (2-3),44770,Arsenic,4.67,NA
West Parcel,DU-6,ISM,2-3,DU-6 (2-3),44770,Chromium,23.2,NA
West Parcel,DU-6,ISM,2-3,DU-6 (2-3),44770,Copper,100,NA
West Parcel,DU-6,ISM,2-3,DU-6 (2-3),44770,Lead,37.8,NA
West Parcel,DU-6,ISM,2-3,DU-6 (2-3),44770,Mercury,0.141,NA
West Parcel,DU-6,ISM,2-3,DU-6 (2-3),44770,Nickel,22,NA
West Parcel,DU-6,ISM,2-3,DU-6 (2-3),44770,Selenium,0.526,U
West Parcel,DU-6,ISM,2-3,DU-6 (2-3),44770,Zinc,112,NA
West Parcel,DU-7,ISM,0-1,DU-7 (0-1),44771,Antimony,0.537,U
West Parcel,DU-7,ISM,0-1,DU-7 (0-1),44771,Arsenic,4.37,NA
West Parcel,DU-7,ISM,0-1,DU-7 (0-1),44771,Chromium,19.2,NA
West Parcel,DU-7,ISM,0-1,DU-7 (0-1),44771,Copper,36,NA
West Parcel,DU-7,ISM,0-1,DU-7 (0-1),44771,Lead,23.3,NA
West Parcel,DU-7,ISM,0-1,DU-7 (0-1),44771,Mercury,0.304,NA
West Parcel,DU-7,ISM,0-1,DU-7 (0-1),44771,Nickel,19.3,NA
West Parcel,DU-7,ISM,0-1,DU-7 (0-1),44771,Selenium,0.537,U
West Parcel,DU-7,ISM,0-1,DU-7 (0-1),44771,Zinc,126,NA
West Parcel,DU-7,ISM,1-2,DU-7 (1-2),44771,Antimony,0.547,U
West Parcel,DU-7,ISM,1-2,DU-7 (1-2),44771,Arsenic,3.98,NA
West Parcel,DU-7,ISM,1-2,DU-7 (1-2),44771,Chromium,18.6,NA
West Parcel,DU-7,ISM,1-2,DU-7 (1-2),44771,Copper,30.1,NA
West Parcel,DU-7,ISM,1-2,DU-7 (1-2),44771,Lead,18.7,NA
West Parcel,DU-7,ISM,1-2,DU-7 (1-2),44771,Mercury,0.13,NA
West Parcel,DU-7,ISM,1-2,DU-7 (1-2),44771,Nickel,19.7,NA
West Parcel,DU-7,ISM,1-2,DU-7 (1-2),44771,Selenium,0.547,U
West Parcel,DU-7,ISM,1-2,DU-7 (1-2),44771,Zinc,92.7,NA
West Parcel,DU-7,ISM,2-3,DU-7 (2-3),44771,Antimony,0.536,U
West Parcel,DU-7,ISM,2-3,DU-7 (2-3),44771,Arsenic,3.07,NA
West Parcel,DU-7,ISM,2-3,DU-7 (2-3),44771,Chromium,16.2,NA
West Parcel,DU-7,ISM,2-3,DU-7 (2-3),44771,Copper,24.2,NA
West Parcel,DU-7,ISM,2-3,DU-7 (2-3),44771,Lead,14.9,NA
West Parcel,DU-7,ISM,2-3,DU-7 (2-3),44771,Mercury,0.0927,NA
West Parcel,DU-7,ISM,2-3,DU-7 (2-3),44771,Nickel,19.1,NA
West Parcel,DU-7,ISM,2-3,DU-7 (2-3),44771,Selenium,0.536,U
West Parcel,DU-7,ISM,2-3,DU-7 (2-3),44771,Zinc,75.1,NA
West Parcel,DU-8,ISM,0-1,DU-8 (0-1),44778,Antimony,0.56,U
West Parcel,DU-8,ISM,0-1,DU-8 (0-1),44778,Arsenic,4.33,NA
West Parcel,DU-8,ISM,0-1,DU-8 (0-1),44778,Chromium,21.7,NA
West Parcel,DU-8,ISM,0-1,DU-8 (0-1),44778,Copper,32.5,NA
